host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	comment
taurust1	resnet32v1	cifar10	2.44402	50000	10000	1.	20180423:185854	20180423:190257	0	8.76754	26.801904	0.430060000019	1.75676686684	0.001	0.899220000019	0.3399	2.44899325714	0.8062	backend=keras,num_classes=10,subtract_pixel_mean=True,data_augmentation=True,n=5,version=1,checkpoint_epochs=False,epochs=10,scratchspace=/home/steinba/development/deeprace/scripts/p100-short,n_gpus=1,batch_size=256	470218	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet32v1	cifar10	2.44402	50000	10000	1.	20180423:185854	20180423:190257	1	35.571673	23.118893	0.586320000038	1.3354453656	0.001	0.957119999962	0.5631	1.42007155437	0.9444	backend=keras,num_classes=10,subtract_pixel_mean=True,data_augmentation=True,n=5,version=1,checkpoint_epochs=False,epochs=10,scratchspace=/home/steinba/development/deeprace/scripts/p100-short,n_gpus=1,batch_size=256	470218	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet32v1	cifar10	2.44402	50000	10000	1.	20180423:185854	20180423:190257	2	58.693129	23.108499	0.658720000038	1.1424786071	0.001	0.970939999943	0.5166	1.8031936554	0.9418	backend=keras,num_classes=10,subtract_pixel_mean=True,data_augmentation=True,n=5,version=1,checkpoint_epochs=False,epochs=10,scratchspace=/home/steinba/development/deeprace/scripts/p100-short,n_gpus=1,batch_size=256	470218	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet32v1	cifar10	2.44402	50000	10000	1.	20180423:185854	20180423:190257	3	81.80414	23.036855	0.7059	1.00823959843	0.001	0.978280000019	0.5769	1.59594255314	0.9328	backend=keras,num_classes=10,subtract_pixel_mean=True,data_augmentation=True,n=5,version=1,checkpoint_epochs=False,epochs=10,scratchspace=/home/steinba/development/deeprace/scripts/p100-short,n_gpus=1,batch_size=256	470218	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet32v1	cifar10	2.44402	50000	10000	1.	20180423:185854	20180423:190257	4	104.843062	23.099745	0.736820000038	0.926019035645	0.001	0.982420000019	0.5361	1.7933393055	0.9041	backend=keras,num_classes=10,subtract_pixel_mean=True,data_augmentation=True,n=5,version=1,checkpoint_epochs=False,epochs=10,scratchspace=/home/steinba/development/deeprace/scripts/p100-short,n_gpus=1,batch_size=256	470218	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet32v1	cifar10	2.44402	50000	10000	1.	20180423:185854	20180423:190257	5	127.944995	23.058878	0.756860000095	0.86115830061	0.001	0.985040000019	0.665	1.17936408663	0.9704	backend=keras,num_classes=10,subtract_pixel_mean=True,data_augmentation=True,n=5,version=1,checkpoint_epochs=False,epochs=10,scratchspace=/home/steinba/development/deeprace/scripts/p100-short,n_gpus=1,batch_size=256	470218	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet32v1	cifar10	2.44402	50000	10000	1.	20180423:185854	20180423:190257	6	151.00614	23.106444	0.776479999981	0.812727245045	0.001	0.9869	0.6537	1.26562399044	0.9738	backend=keras,num_classes=10,subtract_pixel_mean=True,data_augmentation=True,n=5,version=1,checkpoint_epochs=False,epochs=10,scratchspace=/home/steinba/development/deeprace/scripts/p100-short,n_gpus=1,batch_size=256	470218	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet32v1	cifar10	2.44402	50000	10000	1.	20180423:185854	20180423:190257	7	174.11504	23.17649	0.791419999981	0.768494357357	0.001	0.988720000019	0.7639	0.870431119347	0.9826	backend=keras,num_classes=10,subtract_pixel_mean=True,data_augmentation=True,n=5,version=1,checkpoint_epochs=False,epochs=10,scratchspace=/home/steinba/development/deeprace/scripts/p100-short,n_gpus=1,batch_size=256	470218	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet32v1	cifar10	2.44402	50000	10000	1.	20180423:185854	20180423:190257	8	197.294453	23.124011	0.801599999962	0.740841756039	0.001	0.98952	0.7428	0.920803254128	0.9786	backend=keras,num_classes=10,subtract_pixel_mean=True,data_augmentation=True,n=5,version=1,checkpoint_epochs=False,epochs=10,scratchspace=/home/steinba/development/deeprace/scripts/p100-short,n_gpus=1,batch_size=256	470218	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet32v1	cifar10	2.44402	50000	10000	1.	20180423:185854	20180423:190257	9	220.421012	23.113852	0.81294	0.70269691494	0.001	0.991020000019	0.751	0.928553606606	0.9803	backend=keras,num_classes=10,subtract_pixel_mean=True,data_augmentation=True,n=5,version=1,checkpoint_epochs=False,epochs=10,scratchspace=/home/steinba/development/deeprace/scripts/p100-short,n_gpus=1,batch_size=256	470218	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
