host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	opts	comment
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	1	103.489962	100.121151	1.1448238451385497	0.63972	1.2079044870376587	0.6189	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	2	203.612939	100.43868	1.0027941311836244	0.69888	1.0861376766204833	0.6729	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	3	304.053447	99.340384	0.9024052192306519	0.73722	0.9524070341110229	0.7352	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	4	403.394822	100.462393	0.8436673146724701	0.76132	0.9597853331565857	0.7352	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	5	503.858209	99.915817	0.8019440862464905	0.77666	0.9508377471923828	0.7337	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	6	603.776084	100.466891	0.7686318954658509	0.79094	1.0062523527145386	0.7106	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	7	704.243959	100.340168	0.7343592038536072	0.80398	0.8675392246246338	0.7706	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	8	804.58517	100.143409	0.7211310281944275	0.8107	0.9296639186859131	0.757	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	9	904.730087	99.449299	0.6958553496742248	0.8209	0.7557808341026306	0.8068	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	10	1004.181119	100.174853	0.6831332049369812	0.827	0.9238728024482727	0.7547	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	11	1104.357008	100.280859	0.6704730332565307	0.83024	0.7603144679069519	0.8071	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	12	1204.638862	100.295936	0.6600750109767913	0.83436	0.7227035855293273	0.8181	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	13	1304.936892	100.488506	0.6520805055809021	0.83922	0.712366961479187	0.8245	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	14	1405.427457	100.499037	0.6363681486320496	0.84278	0.9412037913322449	0.747	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	0	1.414441	97.253895	1.548091054840088	0.4825	1.3888113275527953	0.5611	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	1	98.670381	95.257239	1.156243014640808	0.63566	1.1068835876464844	0.6593	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	2	193.929379	95.309083	0.99370674036026	0.6998	1.0484039741516114	0.6851	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	3	289.240757	95.29224	0.9037144324302674	0.73526	1.0133354088783264	0.7033	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	4	384.53393	95.302972	0.8367069985389709	0.76174	1.0725500799179077	0.7066	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	5	479.837841	95.215536	0.7972492783164978	0.77596	1.1536863828659059	0.6834	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	6	575.054314	95.354879	0.7634953774261475	0.79088	0.8717932019233704	0.7672	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	7	670.411298	95.193225	0.7369243011856079	0.803	0.8185147973060608	0.7771	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	8	765.605457	95.301564	0.7213431727218628	0.80818	0.8957411414146423	0.7534	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	9	860.908776	95.282904	0.6942153326797486	0.81752	1.0128323942184447	0.7332	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	10	956.193961	95.254821	0.6814738577651978	0.82362	0.8127316056251526	0.7773	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	11	1051.450851	95.312101	0.671181975402832	0.82848	0.7127802936553955	0.8215	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	12	1146.765231	95.204481	0.6552128709411621	0.83598	0.7399641589164734	0.8104	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	13	1241.971997	95.13626	0.6488521668052674	0.837	0.9139945565223694	0.7727	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.831862	50000	10000	1.0	20180309:085018	20180309:091411	14	1337.110352	95.345184	0.6364656028938294	0.84272	0.7371762885093689	0.8154	num_classes=10,version=1,checkpoint_epochs=False,n=3,batch_size=32,data_augmentation=True,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
