host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	opts	n_model_params	versions	comment
taurusi2069	resnet56v1	cifar10	3.659364	50000	10000	1.	20180327:165620	20180327:172725	0	4.587444	125.927804	2.075706415481567	0.387500000038147	2.389388879776001	0.3504	batch_size=256,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,epochs=15,version=1,num_classes=10	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2069	resnet56v1	cifar10	3.659364	50000	10000	1.	20180327:165620	20180327:172725	1	130.516511	123.612741	1.5808699843597411	0.5418800000572205	1.739769009590149	0.4984	batch_size=256,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,epochs=15,version=1,num_classes=10	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2069	resnet56v1	cifar10	3.659364	50000	10000	1.	20180327:165620	20180327:172725	2	254.131562	123.807828	1.3424838512039186	0.628579999961853	1.5300328113555908	0.5915	batch_size=256,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,epochs=15,version=1,num_classes=10	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2069	resnet56v1	cifar10	3.659364	50000	10000	1.	20180327:165620	20180327:172725	3	377.941589	123.728895	1.1639913787269591	0.6924	1.4447242124557496	0.623	batch_size=256,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,epochs=15,version=1,num_classes=10	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2069	resnet56v1	cifar10	3.659364	50000	10000	1.	20180327:165620	20180327:172725	4	501.672801	123.778636	1.054839450378418	0.7285600001335144	1.4032707761764527	0.6406	batch_size=256,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,epochs=15,version=1,num_classes=10	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2069	resnet56v1	cifar10	3.659364	50000	10000	1.	20180327:165620	20180327:172725	5	625.454265	123.784517	0.9762234816360473	0.754420000038147	1.3823571784973145	0.6578	batch_size=256,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,epochs=15,version=1,num_classes=10	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2069	resnet56v1	cifar10	3.659364	50000	10000	1.	20180327:165620	20180327:172725	6	749.240044	123.878971	0.9174452223205566	0.772640000076294	1.4686286880493165	0.6184	batch_size=256,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,epochs=15,version=1,num_classes=10	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2069	resnet56v1	cifar10	3.659364	50000	10000	1.	20180327:165620	20180327:172725	7	873.120279	125.299896	0.8650760382270813	0.7903000000381469	1.302255600452423	0.6746000146865845	batch_size=256,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,epochs=15,version=1,num_classes=10	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2069	resnet56v1	cifar10	3.659364	50000	10000	1.	20180327:165620	20180327:172725	8	998.423194	123.825665	0.8256197290802002	0.8041000000762939	1.663557696723938	0.5996	batch_size=256,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,epochs=15,version=1,num_classes=10	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2069	resnet56v1	cifar10	3.659364	50000	10000	1.	20180327:165620	20180327:172725	9	1122.250357	123.669465	0.7880081080245972	0.8114200000190734	1.2510037157058715	0.6835	batch_size=256,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,epochs=15,version=1,num_classes=10	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
