host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	opts	comment
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	0	4.378303	101.026371	1.5222257247161866	0.4937	1.7932364093780517	0.495	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	1	105.405666	98.296345	1.124007967453003	0.6471	1.2658831411361695	0.6326	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	2	203.702995	98.290683	0.9696896142196655	0.7106	1.2454017053604125	0.6437	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	3	301.995282	98.787302	0.8895742730140686	0.74346	1.0495779064178468	0.7014	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	4	400.783574	98.366314	0.8366392363548278	0.76344	1.2308076189041137	0.667	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	5	499.150844	98.860046	0.7980280335426331	0.78074	0.9663348530769348	0.7407	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	6	598.012263	98.511418	0.7631691673278809	0.79144	0.8417780636787414	0.7747	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	7	696.524645	98.791664	0.7380011526489257	0.80396	1.0721937061309814	0.7158	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	8	795.318204	98.173083	0.7175364921951294	0.81108	0.8070555461883545	0.7907	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	9	893.492243	98.038635	0.6968693441772461	0.819	0.9041435265541077	0.7543	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	10	991.531835	97.923439	0.6784713253974914	0.82608	0.8976313843727112	0.7638	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	11	1089.456226	98.073389	0.6687771286773682	0.83132	0.7663454481124878	0.7994	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	12	1187.530615	97.906328	0.6590416254138947	0.83638	0.8391047104835511	0.7858	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	13	1285.437897	97.897996	0.6436069117546082	0.84224	0.8254361210823059	0.7963	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	14	1383.336854	99.089076	0.6360300304222107	0.8466	0.7314771578788757	0.8186	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662556	50000	10000	1.0	20180309:082831	20180309:085145	0	4.161011	95.39101	1.5181174062347411	0.49436	1.6471123275756836	0.5212	batch_size=32,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,epochs=15,version=1,n=3,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662556	50000	10000	1.0	20180309:082831	20180309:085145	1	99.552921	92.38161	1.1393133761692047	0.64334	1.060930364227295	0.6731	batch_size=32,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,epochs=15,version=1,n=3,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662556	50000	10000	1.0	20180309:082831	20180309:085145	2	191.935433	92.455789	0.99878131980896	0.70114	1.2899024347305297	0.6158	batch_size=32,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,epochs=15,version=1,n=3,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662556	50000	10000	1.0	20180309:082831	20180309:085145	3	284.392133	92.437085	0.9145666657066345	0.73388	0.9626862697601318	0.7182	batch_size=32,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,epochs=15,version=1,n=3,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
