host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	opts	n_model_params	versions	comment
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	12	1500.353381	123.662315	0.7039728420257568	0.8364000000572205	1.3079032424926758	0.6763	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	13	1624.018566	123.59383	0.6856293499565125	0.843599999961853	1.232230834388733	0.6963	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	14	1747.613602	123.648531	0.6544367887306214	0.8533399999809265	1.078313565158844	0.7446	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2091	resnet56v1	cifar10	2.279191	50000	10000	1.	20180327:151028	20180327:154219	0	12.300434	130.383386	2.035458066291809	0.4046200000190735	2.602891725921631	0.3437	batch_size=256,data_augmentation=True,version=1,epochs=15,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2091	resnet56v1	cifar10	2.279191	50000	10000	1.	20180327:151028	20180327:154219	1	142.685012	126.313538	1.4676131146240234	0.585300000038147	2.011492155456543	0.4835	batch_size=256,data_augmentation=True,version=1,epochs=15,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2091	resnet56v1	cifar10	2.279191	50000	10000	1.	20180327:151028	20180327:154219	2	268.999837	126.310975	1.2502784035110475	0.6625000000190735	1.5653383626937867	0.5953	batch_size=256,data_augmentation=True,version=1,epochs=15,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2091	resnet56v1	cifar10	2.279191	50000	10000	1.	20180327:151028	20180327:154219	3	395.313005	126.320113	1.115137407913208	0.710120000038147	1.7004769468307495	0.5744	batch_size=256,data_augmentation=True,version=1,epochs=15,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2091	resnet56v1	cifar10	2.279191	50000	10000	1.	20180327:151028	20180327:154219	4	521.635984	126.363822	1.0283630851745607	0.7396399999427795	1.4325899904251098	0.6289	batch_size=256,data_augmentation=True,version=1,epochs=15,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2091	resnet56v1	cifar10	2.279191	50000	10000	1.	20180327:151028	20180327:154219	5	648.002007	126.34191	0.9567367617416381	0.7605600001144409	1.2106461362838745	0.6956	batch_size=256,data_augmentation=True,version=1,epochs=15,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2091	resnet56v1	cifar10	2.279191	50000	10000	1.	20180327:151028	20180327:154219	6	774.346806	126.353907	0.8949929159355163	0.779859999923706	1.215448536300659	0.6877	batch_size=256,data_augmentation=True,version=1,epochs=15,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
