host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	opts	n_model_params	versions	comment
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	0	7.827639	92.378154	1.7184370562362672	0.447560000038147	1.906452392578125	0.4358	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	1	100.20689	87.095473	1.2686397339630127	0.6137200000190735	1.3830576820373535	0.5826	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	2	187.3041	87.10903	1.0671527033615111	0.6884000000572205	1.2536959461212158	0.6304	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	3	274.414706	86.808474	0.9486677322769165	0.7299799999809266	1.0984919290542603	0.6899	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	4	361.224763	86.778367	0.8704192973518372	0.7592999999809266	1.244319388771057	0.676	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	5	448.004901	86.768137	0.8146033633041382	0.77792	1.2432563481330872	0.6437	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	6	534.774735	86.741496	0.7727886831092834	0.7920600000953675	0.9692204959869385	0.7458	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	7	621.517307	86.705574	0.7357240613365174	0.8062400001525879	1.7588354598999023	0.5753	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	8	708.22451	86.736204	0.7039093876075745	0.816520000076294	0.9767969011306763	0.7282	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	9	794.962569	86.792694	0.6767294219589234	0.824579999961853	0.9467557796478272	0.7351	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	10	881.756935	86.783379	0.660475128955841	0.8312999999809265	0.9923549905776977	0.7276	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	11	968.542164	86.699799	0.6366198348236084	0.842380000038147	1.1596781017303466	0.7065	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	12	1055.24364	86.820253	0.6182183846664429	0.8463000001335144	1.01641161403656	0.7428	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	13	1142.065491	86.67803	0.5987899570465088	0.8535600001144409	0.881962831401825	0.7656	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2046	resnet32v1	cifar10	6.914113	50000	10000	1.	20180327:143305	20180327:145501	14	1228.745131	86.756845	0.5897550572013855	0.8556400000572204	0.8119812982559204	0.7871	batch_size=128,num_classes=10,epochs=15,scratchspace=/home/steinba/development/deeprace,n=5,subtract_pixel_mean=True,version=1,data_augmentation=True,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2098	resnet32v1	cifar10	2.232143	50000	10000	1.	20180327:142434	20180327:144529	0	7.045269	86.367771	1.8206019788742065	0.41644	1.5641538219451905	0.4946	version=1,n=5,data_augmentation=True,checkpoint_epochs=False,batch_size=128,scratchspace=/home/steinba/development/deeprace,num_classes=10,epochs=15,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2098	resnet32v1	cifar10	2.232143	50000	10000	1.	20180327:142434	20180327:144529	1	93.414029	82.875376	1.306620240097046	0.5937800000190735	1.4202977750778198	0.5726	version=1,n=5,data_augmentation=True,checkpoint_epochs=False,batch_size=128,scratchspace=/home/steinba/development/deeprace,num_classes=10,epochs=15,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2098	resnet32v1	cifar10	2.232143	50000	10000	1.	20180327:142434	20180327:144529	2	176.291218	82.849021	1.091104557762146	0.67696	1.361825506210327	0.604	version=1,n=5,data_augmentation=True,checkpoint_epochs=False,batch_size=128,scratchspace=/home/steinba/development/deeprace,num_classes=10,epochs=15,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2098	resnet32v1	cifar10	2.232143	50000	10000	1.	20180327:142434	20180327:144529	3	259.14196	82.966586	0.9659800415229798	0.7199200000381469	1.3034938985824585	0.6163	version=1,n=5,data_augmentation=True,checkpoint_epochs=False,batch_size=128,scratchspace=/home/steinba/development/deeprace,num_classes=10,epochs=15,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2098	resnet32v1	cifar10	2.232143	50000	10000	1.	20180327:142434	20180327:144529	4	342.110188	82.928249	0.8814896932601929	0.7535000000190735	1.0067159224510194	0.7142	version=1,n=5,data_augmentation=True,checkpoint_epochs=False,batch_size=128,scratchspace=/home/steinba/development/deeprace,num_classes=10,epochs=15,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2098	resnet32v1	cifar10	2.232143	50000	10000	1.	20180327:142434	20180327:144529	5	425.039976	82.862776	0.8179208469772339	0.7737999999237061	1.2012214471817018	0.669	version=1,n=5,data_augmentation=True,checkpoint_epochs=False,batch_size=128,scratchspace=/home/steinba/development/deeprace,num_classes=10,epochs=15,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2098	resnet32v1	cifar10	2.232143	50000	10000	1.	20180327:142434	20180327:144529	6	507.903742	82.885137	0.7710714175987243	0.7881200000190735	1.375403444480896	0.6195	version=1,n=5,data_augmentation=True,checkpoint_epochs=False,batch_size=128,scratchspace=/home/steinba/development/deeprace,num_classes=10,epochs=15,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2098	resnet32v1	cifar10	2.232143	50000	10000	1.	20180327:142434	20180327:144529	7	590.790513	82.95949	0.7378895766448975	0.8020800000190735	0.9739321291923523	0.742	version=1,n=5,data_augmentation=True,checkpoint_epochs=False,batch_size=128,scratchspace=/home/steinba/development/deeprace,num_classes=10,epochs=15,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2098	resnet32v1	cifar10	2.232143	50000	10000	1.	20180327:142434	20180327:144529	8	673.751931	82.9372	0.7114797168731689	0.8106000000381469	1.0601452624320984	0.7253	version=1,n=5,data_augmentation=True,checkpoint_epochs=False,batch_size=128,scratchspace=/home/steinba/development/deeprace,num_classes=10,epochs=15,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2098	resnet32v1	cifar10	2.232143	50000	10000	1.	20180327:142434	20180327:144529	9	756.691077	82.831018	0.6791665806961059	0.821920000038147	0.9644603903770447	0.7414	version=1,n=5,data_augmentation=True,checkpoint_epochs=False,batch_size=128,scratchspace=/home/steinba/development/deeprace,num_classes=10,epochs=15,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2098	resnet32v1	cifar10	2.232143	50000	10000	1.	20180327:142434	20180327:144529	10	839.52382	82.926466	0.6548775429916381	0.8282200000953674	1.1084169631004333	0.7197	version=1,n=5,data_augmentation=True,checkpoint_epochs=False,batch_size=128,scratchspace=/home/steinba/development/deeprace,num_classes=10,epochs=15,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
