host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	deeprace_version	comment
talisker-10g	resnet56v1	cifar10	0.18841	50000	10000	1.	20180511:055851	20180511:060608	0	4.564107	47.668678	0.402	2.0804338643264773	0.001	0.876819999961853	0.4057	2.03516817817688	0.904	backend=tf.keras,n_gpus=1,version=1,n=9,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,batch_size=128,data_augmentation=True	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.18841	50000	10000	1.	20180511:055851	20180511:060608	1	52.23536	42.790089	0.5906200000190734	1.4428770113754272	0.001	0.9561399999809265	0.5768	1.4912660482406617	0.9614	backend=tf.keras,n_gpus=1,version=1,n=9,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,batch_size=128,data_augmentation=True	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.18841	50000	10000	1.	20180511:055851	20180511:060608	2	95.027217	42.773312	0.6614000000190735	1.2184409212112426	0.001	0.9706200000190734	0.6766	1.1780476608276367	0.9706	backend=tf.keras,n_gpus=1,version=1,n=9,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,batch_size=128,data_augmentation=True	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.18841	50000	10000	1.	20180511:055851	20180511:060608	3	137.802581	42.618585	0.7088600000190735	1.0715549605560302	0.001	0.97954	0.6881	1.1572682411193849	0.9699	backend=tf.keras,n_gpus=1,version=1,n=9,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,batch_size=128,data_augmentation=True	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.18841	50000	10000	1.	20180511:055851	20180511:060608	4	180.423024	42.782401	0.747059999961853	0.9578377209472656	0.001	0.983640000038147	0.7107	1.0751351848602295	0.9781	backend=tf.keras,n_gpus=1,version=1,n=9,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,batch_size=128,data_augmentation=True	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.18841	50000	10000	1.	20180511:055851	20180511:060608	5	223.206981	42.900531	0.7681000000190735	0.8853727342796326	0.001	0.9858400000190735	0.6636	1.1696520252227782	0.9716	backend=tf.keras,n_gpus=1,version=1,n=9,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,batch_size=128,data_augmentation=True	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.18841	50000	10000	1.	20180511:055851	20180511:060608	6	266.108926	42.547799	0.787579999961853	0.8257585973930359	0.001	0.98854	0.6708	1.2133194957733153	0.9767	backend=tf.keras,n_gpus=1,version=1,n=9,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,batch_size=128,data_augmentation=True	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.18841	50000	10000	1.	20180511:055851	20180511:060608	7	308.658356	42.583987	0.8015999999809265	0.782329990940094	0.001	0.9895000000190735	0.6945	1.124403035068512	0.9752	backend=tf.keras,n_gpus=1,version=1,n=9,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,batch_size=128,data_augmentation=True	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.18841	50000	10000	1.	20180511:055851	20180511:060608	8	351.244029	42.742941	0.8121	0.7426624193763733	0.001	0.99126	0.7718	0.8746199326515198	0.9879	backend=tf.keras,n_gpus=1,version=1,n=9,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,batch_size=128,data_augmentation=True	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.18841	50000	10000	1.	20180511:055851	20180511:060608	9	393.988505	42.651239	0.8239199999809265	0.7069467276382446	0.001	0.9915400000190735	0.7598	0.8783188268661499	0.9876	backend=tf.keras,n_gpus=1,version=1,n=9,subtract_pixel_mean=True,num_classes=10,checkpoint_epochs=False,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,batch_size=128,data_augmentation=True	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.18886	50000	10000	1.	20180510:193052	20180510:193813	0	4.653519	47.843518	0.43728000001907347	1.9295634873962402	0.001	0.8964999999809266	0.4739	1.7983789463043214	0.9285	n_gpus=1,checkpoint_epochs=False,data_augmentation=True,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,epochs=10,backend=tf.keras,subtract_pixel_mean=True,num_classes=10	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.18886	50000	10000	1.	20180510:193052	20180510:193813	1	52.498851	43.280461	0.6093600000190735	1.3956582432174682	0.001	0.959660000038147	0.6203	1.3699449481964112	0.964	n_gpus=1,checkpoint_epochs=False,data_augmentation=True,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,epochs=10,backend=tf.keras,subtract_pixel_mean=True,num_classes=10	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.18886	50000	10000	1.	20180510:193052	20180510:193813	2	95.780864	43.134955	0.6849199999809266	1.1747853286743164	0.001	0.9749399999809265	0.5978	1.5465029233932495	0.9599	n_gpus=1,checkpoint_epochs=False,data_augmentation=True,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,epochs=10,backend=tf.keras,subtract_pixel_mean=True,num_classes=10	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
