host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	val_acc	val_loss	opts	n_model_params	versions	deeprace_version	comment
talisker-10g	care_denoise2d	care_2d	8.549255	768	0	1.	20180511:114956	20180511:115030	0	9.3e-05	8.430769	0.005351595181632146	0.048528121544422875	0.005740078988593894	0.03146875995610442	version=1,filter_base=16,n_depth=2,checkpoint_epochs=False,validation_split=0.1,depth=2,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,n_conv_per_depth=2,n_col=3,batch_size=16,n_row=3,n_gpus=1,n_dims=2,backend=keras	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.549255	768	0	1.	20180511:114956	20180511:115030	1	8.430974	2.768168	0.005487731845265014	0.022176073147078326	0.005757319444621151	0.015609117732806639	version=1,filter_base=16,n_depth=2,checkpoint_epochs=False,validation_split=0.1,depth=2,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,n_conv_per_depth=2,n_col=3,batch_size=16,n_row=3,n_gpus=1,n_dims=2,backend=keras	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.549255	768	0	1.	20180511:114956	20180511:115030	2	11.199271	2.773196	0.005493959021119754	0.012747864180288983	0.005758310275079755	0.01052528645165942	version=1,filter_base=16,n_depth=2,checkpoint_epochs=False,validation_split=0.1,depth=2,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,n_conv_per_depth=2,n_col=3,batch_size=16,n_row=3,n_gpus=1,n_dims=2,backend=keras	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.549255	768	0	1.	20180511:114956	20180511:115030	3	13.972587	2.775175	0.005494776061249495	0.009060122641463874	0.005758904773354917	0.009191547145510648	version=1,filter_base=16,n_depth=2,checkpoint_epochs=False,validation_split=0.1,depth=2,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,n_conv_per_depth=2,n_col=3,batch_size=16,n_row=3,n_gpus=1,n_dims=2,backend=keras	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.549255	768	0	1.	20180511:114956	20180511:115030	4	16.747885	2.76977	0.005494930637210564	0.007454267335050185	0.005758904773354917	0.007861884782550397	version=1,filter_base=16,n_depth=2,checkpoint_epochs=False,validation_split=0.1,depth=2,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,n_conv_per_depth=2,n_col=3,batch_size=16,n_row=3,n_gpus=1,n_dims=2,backend=keras	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.549255	768	0	1.	20180511:114956	20180511:115030	5	19.517774	2.780452	0.005495085211823844	0.006820817886044402	0.005758904773354917	0.006300239993089979	version=1,filter_base=16,n_depth=2,checkpoint_epochs=False,validation_split=0.1,depth=2,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,n_conv_per_depth=2,n_col=3,batch_size=16,n_row=3,n_gpus=1,n_dims=2,backend=keras	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.549255	768	0	1.	20180511:114956	20180511:115030	6	22.298339	2.776517	0.005495018965946093	0.006198086990137866	0.005758904773354917	0.00667047593742609	version=1,filter_base=16,n_depth=2,checkpoint_epochs=False,validation_split=0.1,depth=2,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,n_conv_per_depth=2,n_col=3,batch_size=16,n_row=3,n_gpus=1,n_dims=2,backend=keras	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.549255	768	0	1.	20180511:114956	20180511:115030	7	25.074975	2.777283	0.00549504104880387	0.006292535081726813	0.005758904773354917	0.006216964354835354	version=1,filter_base=16,n_depth=2,checkpoint_epochs=False,validation_split=0.1,depth=2,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,n_conv_per_depth=2,n_col=3,batch_size=16,n_row=3,n_gpus=1,n_dims=2,backend=keras	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.549255	768	0	1.	20180511:114956	20180511:115030	8	27.852385	2.778834	0.005495129375517713	0.006169701970887253	0.005759102939446638	0.008163119478804338	version=1,filter_base=16,n_depth=2,checkpoint_epochs=False,validation_split=0.1,depth=2,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,n_conv_per_depth=2,n_col=3,batch_size=16,n_row=3,n_gpus=1,n_dims=2,backend=keras	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.549255	768	0	1.	20180511:114956	20180511:115030	9	30.631336	2.781928	0.005495085213171633	0.006863733407853956	0.005758904773354917	0.006023480076125109	version=1,filter_base=16,n_depth=2,checkpoint_epochs=False,validation_split=0.1,depth=2,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,epochs=10,n_conv_per_depth=2,n_col=3,batch_size=16,n_row=3,n_gpus=1,n_dims=2,backend=keras	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.559841	768	0	1.	20180511:103938	20180511:104011	0	6.9e-05	8.156041	0.005443655806910327	0.04230919639902073	0.005390514045131284	0.026907411899853063	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,backend=keras,n_gpus=1,n_depth=2,filter_base=16,epochs=10,n_row=3,n_dims=2,validation_split=0.1,checkpoint_epochs=False,batch_size=16,n_conv_per_depth=2,depth=2,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.559841	768	0	1.	20180511:103938	20180511:104011	1	8.156236	2.774265	0.005528274735546362	0.020106187088929882	0.00540240401668208	0.011979720797147844	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,backend=keras,n_gpus=1,n_depth=2,filter_base=16,epochs=10,n_row=3,n_dims=2,validation_split=0.1,checkpoint_epochs=False,batch_size=16,n_conv_per_depth=2,depth=2,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.559841	768	0	1.	20180511:103938	20180511:104011	2	10.930641	2.779133	0.0055341927601528585	0.010505321248287574	0.005402998514957242	0.007632127836007963	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,backend=keras,n_gpus=1,n_depth=2,filter_base=16,epochs=10,n_row=3,n_dims=2,validation_split=0.1,checkpoint_epochs=False,batch_size=16,n_conv_per_depth=2,depth=2,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.559841	768	0	1.	20180511:103938	20180511:104011	3	13.709907	2.76952	0.00553436941695002	0.008695901379625377	0.005403394847140684	0.005352268279711535	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,backend=keras,n_gpus=1,n_depth=2,filter_base=16,epochs=10,n_row=3,n_dims=2,validation_split=0.1,checkpoint_epochs=False,batch_size=16,n_conv_per_depth=2,depth=2,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.559841	768	0	1.	20180511:103938	20180511:104011	4	16.479543	2.778928	0.0055345460744210765	0.007533804153991181	0.005403394847140684	0.005603669005651753	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,backend=keras,n_gpus=1,n_depth=2,filter_base=16,epochs=10,n_row=3,n_dims=2,validation_split=0.1,checkpoint_epochs=False,batch_size=16,n_conv_per_depth=2,depth=2,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.559841	768	0	1.	20180511:103938	20180511:104011	5	19.258614	2.788849	0.005534523993584984	0.006475695644406933	0.005403394847140684	0.004087669980506618	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,backend=keras,n_gpus=1,n_depth=2,filter_base=16,epochs=10,n_row=3,n_dims=2,validation_split=0.1,checkpoint_epochs=False,batch_size=16,n_conv_per_depth=2,depth=2,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.559841	768	0	1.	20180511:103938	20180511:104011	6	22.047585	2.787992	0.005534612321646617	0.006246620522307935	0.005403394847140684	0.004523178036385155	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,backend=keras,n_gpus=1,n_depth=2,filter_base=16,epochs=10,n_row=3,n_dims=2,validation_split=0.1,checkpoint_epochs=False,batch_size=16,n_conv_per_depth=2,depth=2,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.559841	768	0	1.	20180511:103938	20180511:104011	7	24.835701	2.788782	0.005534722731892133	0.006603560109209005	0.005403394847140684	0.00511787591695592	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,backend=keras,n_gpus=1,n_depth=2,filter_base=16,epochs=10,n_row=3,n_dims=2,validation_split=0.1,checkpoint_epochs=False,batch_size=16,n_conv_per_depth=2,depth=2,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.559841	768	0	1.	20180511:103938	20180511:104011	8	27.624627	2.793505	0.005534700649708251	0.007090012323213728	0.005403394847140684	0.00409134461048555	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,backend=keras,n_gpus=1,n_depth=2,filter_base=16,epochs=10,n_row=3,n_dims=2,validation_split=0.1,checkpoint_epochs=False,batch_size=16,n_conv_per_depth=2,depth=2,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.559841	768	0	1.	20180511:103938	20180511:104011	9	30.418246	2.78966	0.005534700649708251	0.006121693667585054	0.005403593013232405	0.004082361057811937	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,version=1,backend=keras,n_gpus=1,n_depth=2,filter_base=16,epochs=10,n_row=3,n_dims=2,validation_split=0.1,checkpoint_epochs=False,batch_size=16,n_conv_per_depth=2,depth=2,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.392297	768	0	1.	20180512:060150	20180512:060222	0	6.8e-05	7.292378	0.005465053443092039	0.04115657390846012	0.005316994431150424	0.023804907965195642	batch_size=16,n_gpus=1,n_row=3,depth=2,checkpoint_epochs=False,n_conv_per_depth=2,version=1,epochs=10,backend=keras,n_col=3,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_dims=2,n_depth=2,filter_base=16,validation_split=0.1	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.392297	768	0	1.	20180512:060150	20180512:060222	1	7.292669	2.768377	0.005537946731412807	0.017105916075613323	0.005328686194276655	0.0094872428914653	batch_size=16,n_gpus=1,n_row=3,depth=2,checkpoint_epochs=False,n_conv_per_depth=2,version=1,epochs=10,backend=keras,n_col=3,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_dims=2,n_depth=2,filter_base=16,validation_split=0.1	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.392297	768	0	1.	20180512:060150	20180512:060222	2	10.061166	2.77089	0.005542252757943703	0.009976832425914565	0.005330073387156446	0.006524650561441849	batch_size=16,n_gpus=1,n_row=3,depth=2,checkpoint_epochs=False,n_conv_per_depth=2,version=1,epochs=10,backend=keras,n_col=3,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_dims=2,n_depth=2,filter_base=16,validation_split=0.1	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.392297	768	0	1.	20180512:060150	20180512:060222	3	12.832166	2.776448	0.005542738565315213	0.007954275612914787	0.005330073387156446	0.005519626380924087	batch_size=16,n_gpus=1,n_row=3,depth=2,checkpoint_epochs=False,n_conv_per_depth=2,version=1,epochs=10,backend=keras,n_col=3,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_dims=2,n_depth=2,filter_base=16,validation_split=0.1	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.392297	768	0	1.	20180512:060150	20180512:060222	4	15.608725	2.78002	0.005542937305644047	0.006760910393295516	0.005330073387156446	0.004737732553999726	batch_size=16,n_gpus=1,n_row=3,depth=2,checkpoint_epochs=False,n_conv_per_depth=2,version=1,epochs=10,backend=keras,n_col=3,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_dims=2,n_depth=2,filter_base=16,validation_split=0.1	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.392297	768	0	1.	20180512:060150	20180512:060222	5	18.388866	2.784951	0.005542981469337916	0.006305589895916485	0.005330073387156446	0.004069537247906064	batch_size=16,n_gpus=1,n_row=3,depth=2,checkpoint_epochs=False,n_conv_per_depth=2,version=1,epochs=10,backend=keras,n_col=3,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_dims=2,n_depth=2,filter_base=16,validation_split=0.1	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	care_denoise2d	care_2d	8.392297	768	0	1.	20180512:060150	20180512:060222	6	21.173931	2.785942	0.005543047715889563	0.00727668023121027	0.005330073387156446	0.005951954717082637	batch_size=16,n_gpus=1,n_row=3,depth=2,checkpoint_epochs=False,n_conv_per_depth=2,version=1,epochs=10,backend=keras,n_col=3,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_dims=2,n_depth=2,filter_base=16,validation_split=0.1	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
