host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	deeprace_version	comment
talisker-10g	resnet56v1	cifar10	0.205167	50000	10000	1.	20180511:221543	20180511:234400	0	5.183295	548.161817	0.39988	1.9705187440681458	0.001	0.87534	0.4633	1.7928215673446655	0.9066	backend=keras,num_classes=10,batch_size=16,version=1,subtract_pixel_mean=True,checkpoint_epochs=False,n=9,n_gpus=2,epochs=10,data_augmentation=True,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	resnet56v1	cifar10	0.205167	50000	10000	1.	20180511:221543	20180511:234400	1	553.347514	531.964622	0.58496	1.4018977940559387	0.001	0.95132	0.6096	1.3476088794708252	0.9468	backend=keras,num_classes=10,batch_size=16,version=1,subtract_pixel_mean=True,checkpoint_epochs=False,n=9,n_gpus=2,epochs=10,data_augmentation=True,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	resnet56v1	cifar10	0.205167	50000	10000	1.	20180511:221543	20180511:234400	2	1085.314816	528.334623	0.668	1.179124373512268	0.001	0.96892	0.5632	1.55683765001297	0.9571	backend=keras,num_classes=10,batch_size=16,version=1,subtract_pixel_mean=True,checkpoint_epochs=False,n=9,n_gpus=2,epochs=10,data_augmentation=True,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	resnet56v1	cifar10	0.205167	50000	10000	1.	20180511:221543	20180511:234400	3	1613.651606	527.104304	0.71324	1.062821012506485	0.001	0.97602	0.6793	1.1636781680107118	0.9795	backend=keras,num_classes=10,batch_size=16,version=1,subtract_pixel_mean=True,checkpoint_epochs=False,n=9,n_gpus=2,epochs=10,data_augmentation=True,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	resnet56v1	cifar10	0.205167	50000	10000	1.	20180511:221543	20180511:234400	4	2140.7588	527.981504	0.73924	0.9914326308250427	0.001	0.98118	0.724	1.0408514698028564	0.9781	backend=keras,num_classes=10,batch_size=16,version=1,subtract_pixel_mean=True,checkpoint_epochs=False,n=9,n_gpus=2,epochs=10,data_augmentation=True,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	resnet56v1	cifar10	0.205167	50000	10000	1.	20180511:221543	20180511:234400	5	2668.742796	526.7544	0.76028	0.9411550997257233	0.001	0.98296	0.7353	1.0526073688030242	0.978	backend=keras,num_classes=10,batch_size=16,version=1,subtract_pixel_mean=True,checkpoint_epochs=False,n=9,n_gpus=2,epochs=10,data_augmentation=True,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	resnet56v1	cifar10	0.205167	50000	10000	1.	20180511:221543	20180511:234400	6	3195.500305	524.385672	0.7715	0.9055529240608216	0.001	0.98526	0.6545	1.3982290879249573	0.9603	backend=keras,num_classes=10,batch_size=16,version=1,subtract_pixel_mean=True,checkpoint_epochs=False,n=9,n_gpus=2,epochs=10,data_augmentation=True,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	resnet56v1	cifar10	0.205167	50000	10000	1.	20180511:221543	20180511:234400	7	3719.888392	524.456123	0.78396	0.8727563968086243	0.001	0.9868	0.7801	0.8814090217113495	0.9884	backend=keras,num_classes=10,batch_size=16,version=1,subtract_pixel_mean=True,checkpoint_epochs=False,n=9,n_gpus=2,epochs=10,data_augmentation=True,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	resnet56v1	cifar10	0.205167	50000	10000	1.	20180511:221543	20180511:234400	8	4244.346708	528.00917	0.79278	0.8465172042560577	0.001	0.98786	0.6871	1.2118199615955352	0.9807	backend=keras,num_classes=10,batch_size=16,version=1,subtract_pixel_mean=True,checkpoint_epochs=False,n=9,n_gpus=2,epochs=10,data_augmentation=True,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	resnet56v1	cifar10	0.205167	50000	10000	1.	20180511:221543	20180511:234400	9	4772.35873	524.580134	0.80274	0.8194934012889862	0.001	0.9888	0.7833	0.9094650203227996	0.9883	backend=keras,num_classes=10,batch_size=16,version=1,subtract_pixel_mean=True,checkpoint_epochs=False,n=9,n_gpus=2,epochs=10,data_augmentation=True,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
