host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	deeprace_version	comment
talisker-10g	resnet56v1	cifar10	0.193634	50000	10000	1.	20180509:201541	20180509:204336	0	5.122055	173.066655	0.41886	1.9343426054382324	0.001	0.88602	0.5349	1.548642211151123	0.9422	n_gpus=1,version=1,backend=keras,num_classes=10,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,checkpoint_epochs=False,epochs=10,subtract_pixel_mean=True,data_augmentation=True,n=9,batch_size=32	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.193634	50000	10000	1.	20180509:201541	20180509:204336	1	178.190983	165.750163	0.59782	1.3674369541931153	0.001	0.95504	0.59	1.4872537042617797	0.9325	n_gpus=1,version=1,backend=keras,num_classes=10,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,checkpoint_epochs=False,epochs=10,subtract_pixel_mean=True,data_augmentation=True,n=9,batch_size=32	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.193634	50000	10000	1.	20180509:201541	20180509:204336	2	343.943675	166.475577	0.67072	1.1524230628204346	0.001	0.97276	0.6175	1.5257431819915772	0.9273	n_gpus=1,version=1,backend=keras,num_classes=10,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,checkpoint_epochs=False,epochs=10,subtract_pixel_mean=True,data_augmentation=True,n=9,batch_size=32	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.193634	50000	10000	1.	20180509:201541	20180509:204336	3	510.421569	166.114306	0.7184	1.0260797887802124	0.001	0.97758	0.6797	1.169323178100586	0.9666	n_gpus=1,version=1,backend=keras,num_classes=10,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,checkpoint_epochs=False,epochs=10,subtract_pixel_mean=True,data_augmentation=True,n=9,batch_size=32	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.193634	50000	10000	1.	20180509:201541	20180509:204336	4	676.537917	167.861877	0.74688	0.9432397527885437	0.001	0.98194	0.6684	1.3427572736740112	0.9747	n_gpus=1,version=1,backend=keras,num_classes=10,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,checkpoint_epochs=False,epochs=10,subtract_pixel_mean=True,data_augmentation=True,n=9,batch_size=32	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.193634	50000	10000	1.	20180509:201541	20180509:204336	5	844.402319	166.118255	0.76828	0.882669790611267	0.001	0.98526	0.7616	0.9219835823059082	0.9749	n_gpus=1,version=1,backend=keras,num_classes=10,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,checkpoint_epochs=False,epochs=10,subtract_pixel_mean=True,data_augmentation=True,n=9,batch_size=32	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.193634	50000	10000	1.	20180509:201541	20180509:204336	6	1010.523235	166.248223	0.7827	0.8425497599983215	0.001	0.98658	0.6402	1.4789955848693848	0.9515	n_gpus=1,version=1,backend=keras,num_classes=10,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,checkpoint_epochs=False,epochs=10,subtract_pixel_mean=True,data_augmentation=True,n=9,batch_size=32	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.193634	50000	10000	1.	20180509:201541	20180509:204336	7	1176.773927	166.313128	0.79748	0.8057130397224427	0.001	0.98866	0.7048	1.2310449279785156	0.9682	n_gpus=1,version=1,backend=keras,num_classes=10,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,checkpoint_epochs=False,epochs=10,subtract_pixel_mean=True,data_augmentation=True,n=9,batch_size=32	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.193634	50000	10000	1.	20180509:201541	20180509:204336	8	1343.089369	165.915788	0.80494	0.7787464498710632	0.001	0.98924	0.7693	0.915283662891388	0.9861	n_gpus=1,version=1,backend=keras,num_classes=10,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,checkpoint_epochs=False,epochs=10,subtract_pixel_mean=True,data_augmentation=True,n=9,batch_size=32	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.193634	50000	10000	1.	20180509:201541	20180509:204336	9	1509.007715	165.763887	0.81452	0.7530980359268189	0.001	0.99036	0.7166	1.1595063321113586	0.9708	n_gpus=1,version=1,backend=keras,num_classes=10,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,checkpoint_epochs=False,epochs=10,subtract_pixel_mean=True,data_augmentation=True,n=9,batch_size=32	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
