host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	deeprace_version	comment
talisker-10g	resnet56v1	cifar10	0.191928	50000	10000	1.	20180510:193054	20180510:193909	0	4.871299	54.285248	0.4394000000095367	1.8762112069702148	0.001	0.9024600000190734	0.3997	2.184647847366333	0.8999	subtract_pixel_mean=True,backend=keras,version=1,data_augmentation=True,n_gpus=1,checkpoint_epochs=False,epochs=10,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191928	50000	10000	1.	20180510:193054	20180510:193909	1	59.159448	48.180921	0.6040199999618531	1.4116014775466919	0.001	0.9593600000381469	0.5958	1.5062179447174073	0.9469	subtract_pixel_mean=True,backend=keras,version=1,data_augmentation=True,n_gpus=1,checkpoint_epochs=False,epochs=10,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191928	50000	10000	1.	20180510:193054	20180510:193909	2	107.343232	48.235172	0.6861600000190735	1.1791002054786681	0.001	0.97428	0.5511	1.8181376705169678	0.9106	subtract_pixel_mean=True,backend=keras,version=1,data_augmentation=True,n_gpus=1,checkpoint_epochs=False,epochs=10,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191928	50000	10000	1.	20180510:193054	20180510:193909	3	155.581335	48.266131	0.7245	1.052899789505005	0.001	0.98056	0.4918	2.0125890964508057	0.9295	subtract_pixel_mean=True,backend=keras,version=1,data_augmentation=True,n_gpus=1,checkpoint_epochs=False,epochs=10,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191928	50000	10000	1.	20180510:193054	20180510:193909	4	203.850153	48.589099	0.7580000000190735	0.9551045775985718	0.001	0.9851000000190735	0.6953	1.1751432433128357	0.9667	subtract_pixel_mean=True,backend=keras,version=1,data_augmentation=True,n_gpus=1,checkpoint_epochs=False,epochs=10,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191928	50000	10000	1.	20180510:193054	20180510:193909	5	252.44234	48.374936	0.77602	0.8912751561355591	0.001	0.9869600000190735	0.6732	1.202144791316986	0.9746	subtract_pixel_mean=True,backend=keras,version=1,data_augmentation=True,n_gpus=1,checkpoint_epochs=False,epochs=10,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191928	50000	10000	1.	20180510:193054	20180510:193909	6	300.820151	48.577353	0.793940000038147	0.8373261220932007	0.001	0.988360000038147	0.7035	1.1856738597869874	0.9708	subtract_pixel_mean=True,backend=keras,version=1,data_augmentation=True,n_gpus=1,checkpoint_epochs=False,epochs=10,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191928	50000	10000	1.	20180510:193054	20180510:193909	7	349.400456	48.51581	0.8048199999809265	0.7940211505126953	0.001	0.99032	0.7389	1.025656393623352	0.9735	subtract_pixel_mean=True,backend=keras,version=1,data_augmentation=True,n_gpus=1,checkpoint_epochs=False,epochs=10,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191928	50000	10000	1.	20180510:193054	20180510:193909	8	397.919137	48.591499	0.81824	0.7617000788497925	0.001	0.99122	0.6816	1.2800785926818847	0.9685	subtract_pixel_mean=True,backend=keras,version=1,data_augmentation=True,n_gpus=1,checkpoint_epochs=False,epochs=10,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191928	50000	10000	1.	20180510:193054	20180510:193909	9	446.51377	48.563699	0.8291600000381469	0.7236707651138305	0.001	0.991600000038147	0.6518	1.379728874206543	0.9795	subtract_pixel_mean=True,backend=keras,version=1,data_augmentation=True,n_gpus=1,checkpoint_epochs=False,epochs=10,n=9,batch_size=128,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
