host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	val_acc	val_loss	opts	n_model_params	versions	deeprace_version	comment
talisker-10g	care_denoise2d	care_2d	8.750777	768	0	1.	20180510:193933	20180510:193958	0	9.3e-05	4.797261	0.0053461188054205536	0.051997703318140444	0.005620981179564805	0.03951648080890829	epochs=10,n_row=3,backend=keras,n_dims=2,filter_base=16,depth=2,validation_split=0.1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_depth=2,n_gpus=2,version=1,n_conv_per_depth=2,checkpoint_epochs=False,batch_size=32,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	care_denoise2d	care_2d	8.750777	768	0	1.	20180510:193933	20180510:193958	1	4.797493	2.146347	0.005484044122578396	0.03197475076907796	0.005643770298255342	0.024716717130565023	epochs=10,n_row=3,backend=keras,n_dims=2,filter_base=16,depth=2,validation_split=0.1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_depth=2,n_gpus=2,version=1,n_conv_per_depth=2,checkpoint_epochs=False,batch_size=32,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	care_denoise2d	care_2d	8.750777	768	0	1.	20180510:193933	20180510:193958	2	6.943973	2.179219	0.005502460655849292	0.01771755243466922	0.005654867611486803	0.015333775938911871	epochs=10,n_row=3,backend=keras,n_dims=2,filter_base=16,depth=2,validation_split=0.1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_depth=2,n_gpus=2,version=1,n_conv_per_depth=2,checkpoint_epochs=False,batch_size=32,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	care_denoise2d	care_2d	8.750777	768	0	1.	20180510:193933	20180510:193958	3	9.123282	2.187962	0.005504955945997438	0.01198403026191612	0.005656056559656735	0.012162622499775576	epochs=10,n_row=3,backend=keras,n_dims=2,filter_base=16,depth=2,validation_split=0.1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_depth=2,n_gpus=2,version=1,n_conv_per_depth=2,checkpoint_epochs=False,batch_size=32,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	care_denoise2d	care_2d	8.750777	768	0	1.	20180510:193933	20180510:193958	4	11.311352	2.149653	0.005505596330677808	0.010023172902328794	0.005656254725748456	0.008826425299048424	epochs=10,n_row=3,backend=keras,n_dims=2,filter_base=16,depth=2,validation_split=0.1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_depth=2,n_gpus=2,version=1,n_conv_per_depth=2,checkpoint_epochs=False,batch_size=32,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	care_denoise2d	care_2d	8.750777	768	0	1.	20180510:193933	20180510:193958	5	13.461119	2.20212	0.005506015888128198	0.008205016746755835	0.005656254725748456	0.007533795569188796	epochs=10,n_row=3,backend=keras,n_dims=2,filter_base=16,depth=2,validation_split=0.1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_depth=2,n_gpus=2,version=1,n_conv_per_depth=2,checkpoint_epochs=False,batch_size=32,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	care_denoise2d	care_2d	8.750777	768	0	1.	20180510:193933	20180510:193958	6	15.66335	2.183538	0.005506302962583718	0.0075069151976443664	0.0056564528918401765	0.007605472234888123	epochs=10,n_row=3,backend=keras,n_dims=2,filter_base=16,depth=2,validation_split=0.1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_depth=2,n_gpus=2,version=1,n_conv_per_depth=2,checkpoint_epochs=False,batch_size=32,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	care_denoise2d	care_2d	8.750777	768	0	1.	20180510:193933	20180510:193958	7	17.847009	2.174415	0.005506413375524812	0.00814575588333322	0.0056564528918401765	0.007831086168767184	epochs=10,n_row=3,backend=keras,n_dims=2,filter_base=16,depth=2,validation_split=0.1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_depth=2,n_gpus=2,version=1,n_conv_per_depth=2,checkpoint_epochs=False,batch_size=32,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	care_denoise2d	care_2d	8.750777	768	0	1.	20180510:193933	20180510:193958	8	20.021549	2.178433	0.005506413378220392	0.0075395207612218625	0.005656254725748456	0.007799592098922698	epochs=10,n_row=3,backend=keras,n_dims=2,filter_base=16,depth=2,validation_split=0.1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_depth=2,n_gpus=2,version=1,n_conv_per_depth=2,checkpoint_epochs=False,batch_size=32,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
talisker-10g	care_denoise2d	care_2d	8.750777	768	0	1.	20180510:193933	20180510:193958	9	22.200091	2.177248	0.0055064796166853	0.006616059394200183	0.005656254725748456	0.006050587559191438	epochs=10,n_row=3,backend=keras,n_dims=2,filter_base=16,depth=2,validation_split=0.1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_depth=2,n_gpus=2,version=1,n_conv_per_depth=2,checkpoint_epochs=False,batch_size=32,n_col=3	83377	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:2,singularity
