host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	val_acc	val_loss	opts	n_model_params	versions	comment
taurusi2092	resnet32v1	cifar10	29.954908	50000.0	10000.0	1.	20180423:093439	20180423:093538	0	4.266152	46.05262041091919	0.1015625	2.6411932	0.2426883	3.490049	scratchspace=/home/steinba/development/deeprace,version=1,n=5,batch_size=256,data_augmentation=True,backend=tf,n_gpus=2,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2092	resnet32v1	cifar10	29.954908	50000.0	10000.0	1.	20180423:093439	20180423:093538	1	56.832936	45.96137261390686	0.53125	1.5010594	0.30438703	3.2404366	scratchspace=/home/steinba/development/deeprace,version=1,n=5,batch_size=256,data_augmentation=True,backend=tf,n_gpus=2,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2092	resnet32v1	cifar10	29.954908	50000.0	10000.0	1.	20180423:093439	20180423:093538	2	3.966997	46.042646408081055	0.640625	1.2635201	0.5217348	1.6449311	scratchspace=/home/steinba/development/deeprace,version=1,n=5,batch_size=256,data_augmentation=True,backend=tf,n_gpus=2,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2092	resnet32v1	cifar10	29.954908	50000.0	10000.0	1.	20180423:093439	20180423:093538	3	51.043923	46.01279854774475	0.6796875	1.0167342	0.50440705	1.6804986	scratchspace=/home/steinba/development/deeprace,version=1,n=5,batch_size=256,data_augmentation=True,backend=tf,n_gpus=2,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2092	resnet32v1	cifar10	29.954908	50000.0	10000.0	1.	20180423:093439	20180423:093538	4	3.999798	45.97047829627991	0.765625	0.85238415	0.62309694	1.3429128	scratchspace=/home/steinba/development/deeprace,version=1,n=5,batch_size=256,data_augmentation=True,backend=tf,n_gpus=2,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2092	resnet32v1	cifar10	29.954908	50000.0	10000.0	1.	20180423:093439	20180423:093538	5	52.051847	45.948198556900024	0.765625	0.9096115	0.47125402	1.8154502	scratchspace=/home/steinba/development/deeprace,version=1,n=5,batch_size=256,data_augmentation=True,backend=tf,n_gpus=2,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2092	resnet32v1	cifar10	29.954908	50000.0	10000.0	1.	20180423:093439	20180423:093538	6	3.983435	46.02754807472229	0.7734375	0.81944525	0.70272434	1.0789952	scratchspace=/home/steinba/development/deeprace,version=1,n=5,batch_size=256,data_augmentation=True,backend=tf,n_gpus=2,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2092	resnet32v1	cifar10	29.954908	50000.0	10000.0	1.	20180423:093439	20180423:093538	7	52.016828	46.11562395095825	0.7734375	0.8905771	0.65134215	1.2569151	scratchspace=/home/steinba/development/deeprace,version=1,n=5,batch_size=256,data_augmentation=True,backend=tf,n_gpus=2,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2092	resnet32v1	cifar10	29.954908	50000.0	10000.0	1.	20180423:093439	20180423:093538	8	3.887361	46.10924482345581	0.8359375	0.6848805	0.6667668	1.1760805	scratchspace=/home/steinba/development/deeprace,version=1,n=5,batch_size=256,data_augmentation=True,backend=tf,n_gpus=2,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2092	resnet32v1	cifar10	29.954908	50000.0	10000.0	1.	20180423:093439	20180423:093538	9	51.876779	46.16636419296265	0.875	0.5836307	0.6979167	1.1114719	scratchspace=/home/steinba/development/deeprace,version=1,n=5,batch_size=256,data_augmentation=True,backend=tf,n_gpus=2,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
