host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	val_acc	val_loss	opts	n_model_params	versions	comment
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	12	7.005907	137.18479132652283	0.84375	0.77597195	0.7692308	0.9357334	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	13	143.709442	133.96952509880066	0.875	0.5902381	0.6557492	1.4472566	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	14	7.032919	136.35928773880005	0.90625	0.59256434	0.802484	0.8409541	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	22.107795	50000.0	10000.0	1.	20180423:145850	20180423:150124	0	6.887257	127.27019357681274	0.15625	2.7031424	0.48056892	1.836637	num_classes=10,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,version=1,backend=tf,n_gpus=2,epochs=15,batch_size=64,checkpoint_epochs=False	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	22.107795	50000.0	10000.0	1.	20180423:145850	20180423:150124	1	140.938307	127.90417885780334	0.53125	1.8040144	0.46354166	2.2020268	num_classes=10,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,version=1,backend=tf,n_gpus=2,epochs=15,batch_size=64,checkpoint_epochs=False	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	22.107795	50000.0	10000.0	1.	20180423:145850	20180423:150124	2	6.448399	121.72029876708984	0.71875	1.3096974	0.565605	1.7080975	num_classes=10,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,version=1,backend=tf,n_gpus=2,epochs=15,batch_size=64,checkpoint_epochs=False	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	22.107795	50000.0	10000.0	1.	20180423:145850	20180423:150124	3	135.779668	126.99373984336853	0.65625	1.3978564	0.7021234	1.2012908	num_classes=10,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,version=1,backend=tf,n_gpus=2,epochs=15,batch_size=64,checkpoint_epochs=False	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	22.107795	50000.0	10000.0	1.	20180423:145850	20180423:150124	4	6.367875	132.3152298927307	0.78125	0.9866153	0.70552886	1.1678011	num_classes=10,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,version=1,backend=tf,n_gpus=2,epochs=15,batch_size=64,checkpoint_epochs=False	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	22.107795	50000.0	10000.0	1.	20180423:145850	20180423:150124	5	129.60997	127.91215205192566	0.71875	1.0528071	0.61278045	1.6171796	num_classes=10,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,version=1,backend=tf,n_gpus=2,epochs=15,batch_size=64,checkpoint_epochs=False	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	22.107795	50000.0	10000.0	1.	20180423:145850	20180423:150124	6	6.56916	127.90048003196716	0.875	0.7859825	0.690605	1.1973737	num_classes=10,subtract_pixel_mean=True,n=9,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,version=1,backend=tf,n_gpus=2,epochs=15,batch_size=64,checkpoint_epochs=False	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
