host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	comment
afff31e83ee6	resnet32v1	cifar10	16.602173	50000	10000	1.	20180423:230220	20180423:232325	0	3.247096	273.547666	0.48292	22.60422921524048	0.001	0.91746	0.3741	2.3699675228118897	0.9121	version=1,num_classes=10,checkpoint_epochs=False,n=5,batch_size=64,subtract_pixel_mean=True,backend=keras,n_gpus=1,data_augmentation=True,epochs=10,scratchspace=/deeprace	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet32v1	cifar10	16.602173	50000	10000	1.	20180423:230220	20180423:232325	1	276.797157	110.661612	0.6399	1.2019572186660767	0.001	0.96478	0.6309	1.28456507396698	0.9699	version=1,num_classes=10,checkpoint_epochs=False,n=5,batch_size=64,subtract_pixel_mean=True,backend=keras,n_gpus=1,data_augmentation=True,epochs=10,scratchspace=/deeprace	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet32v1	cifar10	16.602173	50000	10000	1.	20180423:230220	20180423:232325	2	387.460325	112.42978	0.70354	1.028404374408722	0.001	0.97854	0.6529	1.2310640306472778	0.9676	version=1,num_classes=10,checkpoint_epochs=False,n=5,batch_size=64,subtract_pixel_mean=True,backend=keras,n_gpus=1,data_augmentation=True,epochs=10,scratchspace=/deeprace	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet32v1	cifar10	16.602173	50000	10000	1.	20180423:230220	20180423:232325	3	499.892373	110.912777	0.73966	0.9287991858100891	0.001	0.98254	0.6585	1.2521420114517212	0.9614	version=1,num_classes=10,checkpoint_epochs=False,n=5,batch_size=64,subtract_pixel_mean=True,backend=keras,n_gpus=1,data_augmentation=True,epochs=10,scratchspace=/deeprace	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet32v1	cifar10	16.602173	50000	10000	1.	20180423:230220	20180423:232325	4	610.806857	108.37142	0.76358	84.74799210479736	0.001	0.98562	0.7541	0.9507009306907653	0.9798	version=1,num_classes=10,checkpoint_epochs=False,n=5,batch_size=64,subtract_pixel_mean=True,backend=keras,n_gpus=1,data_augmentation=True,epochs=10,scratchspace=/deeprace	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet32v1	cifar10	16.602173	50000	10000	1.	20180423:230220	20180423:232325	5	719.181986	112.025663	0.77886	105.67813617855072	0.001	0.98736	0.7638	0.9245691577911377	0.9835	version=1,num_classes=10,checkpoint_epochs=False,n=5,batch_size=64,subtract_pixel_mean=True,backend=keras,n_gpus=1,data_augmentation=True,epochs=10,scratchspace=/deeprace	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet32v1	cifar10	16.602173	50000	10000	1.	20180423:230220	20180423:232325	6	831.209658	110.718411	0.79732	84.6637714359665	0.001	0.98814	0.7496	0.956432502746582	0.9799	version=1,num_classes=10,checkpoint_epochs=False,n=5,batch_size=64,subtract_pixel_mean=True,backend=keras,n_gpus=1,data_augmentation=True,epochs=10,scratchspace=/deeprace	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet32v1	cifar10	16.602173	50000	10000	1.	20180423:230220	20180423:232325	7	941.930958	106.191598	0.80816	84.62780455905914	0.001	0.99058	0.7507	0.9476601314544678	0.974	version=1,num_classes=10,checkpoint_epochs=False,n=5,batch_size=64,subtract_pixel_mean=True,backend=keras,n_gpus=1,data_augmentation=True,epochs=10,scratchspace=/deeprace	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet32v1	cifar10	16.602173	50000	10000	1.	20180423:230220	20180423:232325	8	1048.124392	106.91095	0.81644	84.59975256156922	0.001	0.99132	0.7179	1.119153020954132	0.9645	version=1,num_classes=10,checkpoint_epochs=False,n=5,batch_size=64,subtract_pixel_mean=True,backend=keras,n_gpus=1,data_augmentation=True,epochs=10,scratchspace=/deeprace	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet32v1	cifar10	16.602173	50000	10000	1.	20180423:230220	20180423:232325	9	1155.037678	110.473424	0.8249	0.7009566640281677	0.001	0.99146	0.7381	0.9614865646362305	0.9786	version=1,num_classes=10,checkpoint_epochs=False,n=5,batch_size=64,subtract_pixel_mean=True,backend=keras,n_gpus=1,data_augmentation=True,epochs=10,scratchspace=/deeprace	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
