host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	top_k_catacc	val_top_k_catacc	opts	n_model_params	versions	comment
taurusi2068	resnet56v1	cifar10	2.288714	50000	10000	1.	20180413:193026	20180413:200140	0	12.65679	128.276481	1.9102259322738648	0.43157999996185303	3.1085400798797607	0.2942	0.8950200000762939	0.7936	epochs=15,n_gpus=1,num_classes=10,batch_size=256,data_augmentation=True,subtract_pixel_mean=True,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2068	resnet56v1	cifar10	2.288714	50000	10000	1.	20180413:193026	20180413:200140	1	140.934562	123.969864	1.474826496772766	0.58386	2.699702802276611	0.3901	0.9543800000953674	0.8949	epochs=15,n_gpus=1,num_classes=10,batch_size=256,data_augmentation=True,subtract_pixel_mean=True,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2068	resnet56v1	cifar10	2.288714	50000	10000	1.	20180413:193026	20180413:200140	2	264.906525	123.908179	1.2499389666748046	0.6670199999237061	1.6343490352630616	0.5735	0.9709200000572205	0.9511	epochs=15,n_gpus=1,num_classes=10,batch_size=256,data_augmentation=True,subtract_pixel_mean=True,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2068	resnet56v1	cifar10	2.288714	50000	10000	1.	20180413:193026	20180413:200140	3	388.81693	123.879735	1.1049735459518433	0.7135200000762939	1.9200428230285644	0.5405	0.9791400000190735	0.9495	epochs=15,n_gpus=1,num_classes=10,batch_size=256,data_augmentation=True,subtract_pixel_mean=True,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2068	resnet56v1	cifar10	2.288714	50000	10000	1.	20180413:193026	20180413:200140	4	512.699547	123.734029	1.020419156036377	0.7443400000190735	1.3325886739730834	0.6544	0.9829599999809265	0.9716	epochs=15,n_gpus=1,num_classes=10,batch_size=256,data_augmentation=True,subtract_pixel_mean=True,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2068	resnet56v1	cifar10	2.288714	50000	10000	1.	20180413:193026	20180413:200140	5	636.43568	123.912709	0.9494312705993653	0.767460000038147	1.1966767997741699	0.6886	0.9857200000190735	0.9778	epochs=15,n_gpus=1,num_classes=10,batch_size=256,data_augmentation=True,subtract_pixel_mean=True,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2068	resnet56v1	cifar10	2.288714	50000	10000	1.	20180413:193026	20180413:200140	6	760.351284	123.725528	0.8871073609924316	0.7853399999809265	1.4684931329727173	0.6084	0.98798	0.9719	epochs=15,n_gpus=1,num_classes=10,batch_size=256,data_augmentation=True,subtract_pixel_mean=True,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2068	resnet56v1	cifar10	2.288714	50000	10000	1.	20180413:193026	20180413:200140	7	884.078912	123.968508	0.8463560436630249	0.797979999961853	1.0703410385131835	0.7254	0.98904	0.9832	epochs=15,n_gpus=1,num_classes=10,batch_size=256,data_augmentation=True,subtract_pixel_mean=True,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2068	resnet56v1	cifar10	2.288714	50000	10000	1.	20180413:193026	20180413:200140	8	1008.049932	123.96608	0.8109989015388489	0.8090600000572205	1.0809844924926757	0.7313	0.9899799999427795	0.9819	epochs=15,n_gpus=1,num_classes=10,batch_size=256,data_augmentation=True,subtract_pixel_mean=True,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2068	resnet56v1	cifar10	2.288714	50000	10000	1.	20180413:193026	20180413:200140	9	1132.018984	123.936997	0.7744456242370605	0.8189600001335144	1.2272502500534057	0.6854	0.9916	0.9737	epochs=15,n_gpus=1,num_classes=10,batch_size=256,data_augmentation=True,subtract_pixel_mean=True,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
