host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	top_k_catacc	val_acc	val_loss	val_top_k_catacc	opts	n_model_params	versions	comment
taurusi2079	resnet56v1	cifar10	6.752535	50000	10000	1.	20180423:102005	20180423:105158	10	1283.918605	126.066492	0.8072600000953675	0.8216866395187378	0.9901599999046325	0.6395999992370606	1.3771836177825927	0.970999999332428	n_gpus=4,backend=keras,checkpoint_epochs=False,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,n=9,version=1,data_augmentation=True,batch_size=512,epochs=15,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2079	resnet56v1	cifar10	6.752535	50000	10000	1.	20180423:102005	20180423:105158	11	1409.987434	125.965222	0.8132600001525879	0.7934268502426147	0.9913799999809265	0.6968000001907348	1.234534979057312	0.9743999994277954	n_gpus=4,backend=keras,checkpoint_epochs=False,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,n=9,version=1,data_augmentation=True,batch_size=512,epochs=15,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2079	resnet56v1	cifar10	6.752535	50000	10000	1.	20180423:102005	20180423:105158	12	1535.9563	126.289584	0.8236200001907349	0.7613755257415772	0.9919399999809265	0.6970999999046326	1.1959768411636353	0.9756999996185303	n_gpus=4,backend=keras,checkpoint_epochs=False,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,n=9,version=1,data_augmentation=True,batch_size=512,epochs=15,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2079	resnet56v1	cifar10	6.752535	50000	10000	1.	20180423:102005	20180423:105158	13	1662.249571	125.376842	0.8283199998474121	0.7449524430656433	0.9931199998283387	0.5877999997138977	1.7641166904449463	0.9421000002861023	n_gpus=4,backend=keras,checkpoint_epochs=False,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,n=9,version=1,data_augmentation=True,batch_size=512,epochs=15,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2079	resnet56v1	cifar10	6.752535	50000	10000	1.	20180423:102005	20180423:105158	14	1787.628006	125.494984	0.8360199998855591	0.7212502638435364	0.99416	0.7430999992370605	1.0677166870117187	0.9803999995231628	n_gpus=4,backend=keras,checkpoint_epochs=False,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,n=9,version=1,data_augmentation=True,batch_size=512,epochs=15,num_classes=10	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	0	9.904407	141.038568	0.3834600000858307	2.0524711486434937	0.865159999961853	0.334	2.580118792724609	0.8517999998092651	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	1	150.945132	126.156024	0.5367400000572204	1.6020025185775757	0.94304	0.36119999966621397	2.471569535446167	0.8815000007629394	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	2	277.104941	126.113486	0.6105999999809265	1.4055633241271972	0.9603799998664856	0.5186	1.8318518564224242	0.903099999332428	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	3	403.220049	126.447374	0.6652800000572204	1.254316959991455	0.9715000001335145	0.5849000001907348	1.6154021936416625	0.939	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	4	529.669118	126.133178	0.7041400001335144	1.141850157699585	0.976839999961853	0.38780000033378603	4.306502620697022	0.7577000007629394	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	5	655.805585	126.737603	0.7356599998855591	1.050277771949768	0.9817199998855591	0.5922000001907348	1.6729899913787842	0.95	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	6	782.546917	126.640907	0.7539199999046325	0.9948550346755981	0.9849199998855591	0.6163999992370606	1.5967923933029176	0.9631999992370606	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	7	909.189461	126.622752	0.7727599998092651	0.935624299697876	0.9862800000572205	0.5965000007629394	1.6242303928375244	0.957400000667572	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	8	1035.815534	126.581595	0.7852599998855591	0.8900283374595642	0.9886000000572205	0.7149	1.1076716869354248	0.9790999996185302	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	9	1162.40085	126.068023	0.7977799998092652	0.8524494793319702	0.9896599999046326	0.6226999992370605	1.4972911260604858	0.9525000005722046	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	10	1288.472595	126.671317	0.8056000000953675	0.8234496229171753	0.9898199998283386	0.7368000004768371	1.0720274099349976	0.9814999998092652	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	11	1415.146496	126.787826	0.8166000001335144	0.7910377629852295	0.9909600001525879	0.6830999997138977	1.3370183444976806	0.9709999996185302	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	12	1541.936877	126.827852	0.824740000038147	0.7643795269775391	0.9919199999809265	0.7054999996185303	1.168139525604248	0.9826999997138977	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	13	1668.767151	126.530162	0.8331599998855591	0.7362955578613282	0.9924799998283387	0.6817999995231628	1.2633219421386719	0.9768999992370605	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2074	resnet56v1	cifar10	7.675599	50000	10000	1.	20180423:100641	20180423:103843	14	1795.298953	126.28193	0.8410399998474121	0.7081102000427246	0.9935399998283386	0.6567000002861023	1.5088008102416992	0.9680999995231628	epochs=15,n=9,n_gpus=4,num_classes=10,version=1,backend=keras,batch_size=512,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,checkpoint_epochs=False,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2100	resnet56v1	cifar10	5.468415	50000	10000	1.	20180423:101332	20180423:104538	0	9.886662	142.104423	0.3481199999833107	2.2387157153320314	0.8521000000953675	0.300599999666214	2.4032382610321044	0.7891999994277954	checkpoint_epochs=False,batch_size=512,n_gpus=4,subtract_pixel_mean=True,data_augmentation=True,num_classes=10,backend=keras,version=1,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2100	resnet56v1	cifar10	5.468415	50000	10000	1.	20180423:101332	20180423:104538	1	151.993206	126.70566	0.48872000007629396	1.7334098907089233	0.9293399999046326	0.43779999966621397	2.014320289230347	0.8786999997138977	checkpoint_epochs=False,batch_size=512,n_gpus=4,subtract_pixel_mean=True,data_augmentation=True,num_classes=10,backend=keras,version=1,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2100	resnet56v1	cifar10	5.468415	50000	10000	1.	20180423:101332	20180423:104538	2	278.701862	126.628042	0.5716999999046326	1.5063917650985719	0.9514400000190735	0.5210000000953674	1.6993746461868287	0.9294999996185302	checkpoint_epochs=False,batch_size=512,n_gpus=4,subtract_pixel_mean=True,data_augmentation=True,num_classes=10,backend=keras,version=1,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2100	resnet56v1	cifar10	5.468415	50000	10000	1.	20180423:101332	20180423:104538	3	405.334011	126.875517	0.6306400000572204	1.330961880531311	0.965960000038147	0.49660000004768373	1.8492180765151978	0.9274999999046326	checkpoint_epochs=False,batch_size=512,n_gpus=4,subtract_pixel_mean=True,data_augmentation=True,num_classes=10,backend=keras,version=1,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2100	resnet56v1	cifar10	5.468415	50000	10000	1.	20180423:101332	20180423:104538	4	532.212216	126.494852	0.6729599998855591	1.2124385399627686	0.973320000038147	0.6461999998092651	1.2886647224426269	0.9730999996185302	checkpoint_epochs=False,batch_size=512,n_gpus=4,subtract_pixel_mean=True,data_augmentation=True,num_classes=10,backend=keras,version=1,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2100	resnet56v1	cifar10	5.468415	50000	10000	1.	20180423:101332	20180423:104538	5	658.710781	126.680709	0.71042	1.1131014179229737	0.9779399999046325	0.5962000000953674	1.491151642227173	0.9520000004768372	checkpoint_epochs=False,batch_size=512,n_gpus=4,subtract_pixel_mean=True,data_augmentation=True,num_classes=10,backend=keras,version=1,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2100	resnet56v1	cifar10	5.468415	50000	10000	1.	20180423:101332	20180423:104538	6	785.393129	126.100797	0.7394599999618531	1.0270035881423951	0.9828600000572204	0.6023	1.5306440422058105	0.9524000004768371	checkpoint_epochs=False,batch_size=512,n_gpus=4,subtract_pixel_mean=True,data_augmentation=True,num_classes=10,backend=keras,version=1,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2100	resnet56v1	cifar10	5.468415	50000	10000	1.	20180423:101332	20180423:104538	7	911.495524	126.376427	0.754540000076294	0.9748205321884156	0.9849399998092652	0.6523000003814697	1.2876199008941651	0.9702999993324279	checkpoint_epochs=False,batch_size=512,n_gpus=4,subtract_pixel_mean=True,data_augmentation=True,num_classes=10,backend=keras,version=1,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2100	resnet56v1	cifar10	5.468415	50000	10000	1.	20180423:101332	20180423:104538	8	1037.87362	126.806736	0.7744200001525879	0.9189198965454102	0.9864799998092652	0.731999999332428	1.0447279987335205	0.9814999996185303	checkpoint_epochs=False,batch_size=512,n_gpus=4,subtract_pixel_mean=True,data_augmentation=True,num_classes=10,backend=keras,version=1,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2100	resnet56v1	cifar10	5.468415	50000	10000	1.	20180423:101332	20180423:104538	9	1164.684078	126.698448	0.783499999961853	0.8830951771163941	0.9883199999046326	0.633899999332428	1.535195892906189	0.9373	checkpoint_epochs=False,batch_size=512,n_gpus=4,subtract_pixel_mean=True,data_augmentation=True,num_classes=10,backend=keras,version=1,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
taurusi2100	resnet56v1	cifar10	5.468415	50000	10000	1.	20180423:101332	20180423:104538	10	1291.386917	128.008145	0.7979599999046326	0.8429187298393249	0.9892199999046326	0.7150999956130981	1.200972731590271	0.9567000067710877	checkpoint_epochs=False,batch_size=512,n_gpus=4,subtract_pixel_mean=True,data_augmentation=True,num_classes=10,backend=keras,version=1,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:4,fs:nfs,singularity:lustre
