host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	val_acc	val_loss	opts	n_model_params	versions	comment
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	0	5.325806	41.78366184234619	0.9140625	0.5260197	0.7919	0.89059806	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	1	52.789452	41.722235679626465	0.890625	0.5779161	0.7041	1.2538196	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	2	3.022847	41.660351514816284	0.9140625	0.5256139	0.7265	1.2228136	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	3	45.753844	41.81299877166748	0.8828125	0.59805	0.7721	0.9502157	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	4	3.059836	41.69526815414429	0.8515625	0.6510352	0.7873	0.9452479	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	5	45.685052	45.097742557525635	0.8828125	0.5980332	0.7301	1.1394937	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	6	3.011316	41.587400674819946	0.90625	0.56511045	0.672	1.4834236	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	7	46.71237	41.74360942840576	0.8984375	0.53731316	0.7786	1.0143713	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	8	2.990231	41.598137855529785	0.890625	0.5562411	0.7739	1.0535388	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	9	45.639999	41.73694586753845	0.828125	0.6749921	0.7618	1.1412371	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	10	3.085063	41.811163663864136	0.9140625	0.5337856	0.7147	1.3243518	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	11	50.08264	41.647538900375366	0.8671875	0.68431187	0.7074	1.2963711	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	12	3.016453	41.55060863494873	0.90625	0.5377039	0.6851	1.3105289	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	13	45.599256	41.64184284210205	0.8828125	0.6438942	0.8048	0.90605724	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2081	resnet32v1	cifar10	4.008713	50000.0	10000.0	1.	20180420:165707	20180420:165758	14	3.044711	41.51848816871643	0.9296875	0.5209058	0.7959	0.8910617	n_gpus=1,checkpoint_epochs=False,backend=tf,data_augmentation=True,subtract_pixel_mean=True,num_classes=10,batch_size=128,version=1,n=5,scratchspace=/home/steinba/development/deeprace,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2102	resnet32v1	cifar10	65.190156	50000.0	10000.0	1.	20180420:163310	20180420:163401	0	3.03289	42.059565782547	0.125	2.7004213	0.2337	4.8744435	batch_size=128,num_classes=10,n=5,subtract_pixel_mean=True,data_augmentation=True,epochs=15,version=1,n_gpus=1,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,backend=tf	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2102	resnet32v1	cifar10	65.190156	50000.0	10000.0	1.	20180420:163310	20180420:163401	1	46.136372	44.97361445426941	0.59375	1.3710737	0.2593	4.859869	batch_size=128,num_classes=10,n=5,subtract_pixel_mean=True,data_augmentation=True,epochs=15,version=1,n_gpus=1,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,backend=tf	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2102	resnet32v1	cifar10	65.190156	50000.0	10000.0	1.	20180420:163310	20180420:163401	2	2.995374	41.60833978652954	0.6015625	1.1886594	0.4411	2.21972	batch_size=128,num_classes=10,n=5,subtract_pixel_mean=True,data_augmentation=True,epochs=15,version=1,n_gpus=1,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,backend=tf	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2102	resnet32v1	cifar10	65.190156	50000.0	10000.0	1.	20180420:163310	20180420:163401	3	48.939244	41.676167011260986	0.734375	0.888662	0.6994	1.0864717	batch_size=128,num_classes=10,n=5,subtract_pixel_mean=True,data_augmentation=True,epochs=15,version=1,n_gpus=1,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,backend=tf	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2102	resnet32v1	cifar10	65.190156	50000.0	10000.0	1.	20180420:163310	20180420:163401	4	3.003126	41.68537974357605	0.765625	0.88628876	0.5778	1.5089769	batch_size=128,num_classes=10,n=5,subtract_pixel_mean=True,data_augmentation=True,epochs=15,version=1,n_gpus=1,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,backend=tf	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2102	resnet32v1	cifar10	65.190156	50000.0	10000.0	1.	20180420:163310	20180420:163401	5	46.54508	41.59415316581726	0.7734375	0.9413838	0.6284	1.3183352	batch_size=128,num_classes=10,n=5,subtract_pixel_mean=True,data_augmentation=True,epochs=15,version=1,n_gpus=1,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,backend=tf	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2102	resnet32v1	cifar10	65.190156	50000.0	10000.0	1.	20180420:163310	20180420:163401	6	3.105394	41.60649871826172	0.8515625	0.7542136	0.6282	1.2578661	batch_size=128,num_classes=10,n=5,subtract_pixel_mean=True,data_augmentation=True,epochs=15,version=1,n_gpus=1,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,backend=tf	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2102	resnet32v1	cifar10	65.190156	50000.0	10000.0	1.	20180420:163310	20180420:163401	7	45.71128	41.70494318008423	0.8828125	0.61842936	0.6115	1.4311669	batch_size=128,num_classes=10,n=5,subtract_pixel_mean=True,data_augmentation=True,epochs=15,version=1,n_gpus=1,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,backend=tf	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
