host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	comment
instance-1	resnet32v1	cifar10	2.758273	50000	10000	1.	20180424:041421	20180424:043206	0	7.911282	108.981235	0.4765	1.64140519272	0.001	0.9159	0.4822	1.68770088272	0.9303	num_classes=10,data_augmentation=True,backend=keras,n_gpus=1,scratchspace=/home/steinbac/deeprace/scripts/gce,subtract_pixel_mean=True,epochs=10,n=5,version=1,batch_size=64,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.758273	50000	10000	1.	20180424:041421	20180424:043206	1	116.894047	105.513212	0.6289	1.22485359573	0.001	0.96308	0.5686	1.58928867741	0.9344	num_classes=10,data_augmentation=True,backend=keras,n_gpus=1,scratchspace=/home/steinbac/deeprace/scripts/gce,subtract_pixel_mean=True,epochs=10,n=5,version=1,batch_size=64,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.758273	50000	10000	1.	20180424:041421	20180424:043206	2	222.408503	105.294311	0.69858	1.04155284679	0.001	0.97556	0.6805	1.09963615589	0.9723	num_classes=10,data_augmentation=True,backend=keras,n_gpus=1,scratchspace=/home/steinbac/deeprace/scripts/gce,subtract_pixel_mean=True,epochs=10,n=5,version=1,batch_size=64,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.758273	50000	10000	1.	20180424:041421	20180424:043206	3	327.70417	105.454535	0.73566	0.937239031029	0.001	0.9812	0.6625	1.24305076513	0.9656	num_classes=10,data_augmentation=True,backend=keras,n_gpus=1,scratchspace=/home/steinbac/deeprace/scripts/gce,subtract_pixel_mean=True,epochs=10,n=5,version=1,batch_size=64,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.758273	50000	10000	1.	20180424:041421	20180424:043206	4	433.160277	105.220383	0.7598	0.86907479517	0.001	0.98486	0.7296	1.00426678276	0.9755	num_classes=10,data_augmentation=True,backend=keras,n_gpus=1,scratchspace=/home/steinbac/deeprace/scripts/gce,subtract_pixel_mean=True,epochs=10,n=5,version=1,batch_size=64,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.758273	50000	10000	1.	20180424:041421	20180424:043206	5	538.381757	105.354692	0.77852	0.823252349606	0.001	0.98706	0.6683	1.23068457642	0.9598	num_classes=10,data_augmentation=True,backend=keras,n_gpus=1,scratchspace=/home/steinbac/deeprace/scripts/gce,subtract_pixel_mean=True,epochs=10,n=5,version=1,batch_size=64,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.758273	50000	10000	1.	20180424:041421	20180424:043206	6	643.737519	105.426162	0.79394	0.772877081623	0.001	0.98866	0.7589	0.896910846901	0.9837	num_classes=10,data_augmentation=True,backend=keras,n_gpus=1,scratchspace=/home/steinbac/deeprace/scripts/gce,subtract_pixel_mean=True,epochs=10,n=5,version=1,batch_size=64,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.758273	50000	10000	1.	20180424:041421	20180424:043206	7	749.164844	105.400136	0.80732	0.746626443939	0.001	0.98934	0.7325	1.02376416893	0.98	num_classes=10,data_augmentation=True,backend=keras,n_gpus=1,scratchspace=/home/steinbac/deeprace/scripts/gce,subtract_pixel_mean=True,epochs=10,n=5,version=1,batch_size=64,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.758273	50000	10000	1.	20180424:041421	20180424:043206	8	854.566204	105.182459	0.81694	0.716548841057	0.001	0.99082	0.7357	1.0336999402	0.9778	num_classes=10,data_augmentation=True,backend=keras,n_gpus=1,scratchspace=/home/steinbac/deeprace/scripts/gce,subtract_pixel_mean=True,epochs=10,n=5,version=1,batch_size=64,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.758273	50000	10000	1.	20180424:041421	20180424:043206	9	959.749846	105.101959	0.82248	0.700155342903	0.001	0.99164	0.7757	0.858143014908	0.9814	num_classes=10,data_augmentation=True,backend=keras,n_gpus=1,scratchspace=/home/steinbac/deeprace/scripts/gce,subtract_pixel_mean=True,epochs=10,n=5,version=1,batch_size=64,checkpoint_epochs=False	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
