host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	comment
instance-1	resnet32v1	cifar10	2.720257	50000	10000	1.	20180424:034644	20180424:035917	0	8.703262	78.232143	0.378300007224	1.94915934006	0.001	0.869240014493	0.334400007203	2.06401332742	0.892600021869	n=5,n_gpus=1,version=1,num_classes=10,backend=keras,batch_size=265,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,epochs=10,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.720257	50000	10000	1.	20180424:034644	20180424:035917	1	86.936714	74.085798	0.549760008994	1.42562421728	0.001	0.947480028665	0.517600007817	1.56402540284	0.936400033116	n=5,n_gpus=1,version=1,num_classes=10,backend=keras,batch_size=265,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,epochs=10,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.720257	50000	10000	1.	20180424:034644	20180424:035917	2	161.023896	73.952421	0.63280000785	1.20549617319	0.001	0.963780026698	0.530000010699	1.59839920217	0.938900031537	n=5,n_gpus=1,version=1,num_classes=10,backend=keras,batch_size=265,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,epochs=10,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.720257	50000	10000	1.	20180424:034644	20180424:035917	3	234.977809	73.892585	0.686540015811	1.06149082043	0.001	0.975140028846	0.594900010347	1.39371075547	0.951800034493	n=5,n_gpus=1,version=1,num_classes=10,backend=keras,batch_size=265,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,epochs=10,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.720257	50000	10000	1.	20180424:034644	20180424:035917	4	308.87169	73.923452	0.720920010597	0.966244264394	0.001	0.980900031281	0.636000009298	1.25972014534	0.969200028419	n=5,n_gpus=1,version=1,num_classes=10,backend=keras,batch_size=265,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,epochs=10,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.720257	50000	10000	1.	20180424:034644	20180424:035917	5	382.796482	74.028277	0.748800010663	0.887874262536	0.001	0.983820028955	0.601200015992	1.4413558566	0.950500037253	n=5,n_gpus=1,version=1,num_classes=10,backend=keras,batch_size=265,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,epochs=10,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.720257	50000	10000	1.	20180424:034644	20180424:035917	6	456.826119	74.477877	0.768180009574	0.832894318199	0.001	0.985940033966	0.619500011861	1.42418073207	0.95170003292	n=5,n_gpus=1,version=1,num_classes=10,backend=keras,batch_size=265,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,epochs=10,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.720257	50000	10000	1.	20180424:034644	20180424:035917	7	531.305138	73.874636	0.786400012875	0.782445771641	0.001	0.987920028883	0.73650000751	0.927041756839	0.984900027424	n=5,n_gpus=1,version=1,num_classes=10,backend=keras,batch_size=265,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,epochs=10,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.720257	50000	10000	1.	20180424:034644	20180424:035917	8	605.181011	73.953632	0.798700012386	0.74351060918	0.001	0.988840027559	0.703600011796	1.12836669445	0.973000034392	n=5,n_gpus=1,version=1,num_classes=10,backend=keras,batch_size=265,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,epochs=10,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet32v1	cifar10	2.720257	50000	10000	1.	20180424:034644	20180424:035917	9	679.135833	74.021648	0.809940012819	0.713913382518	0.001	0.990380026209	0.589000007421	1.70350814104	0.959200023115	n=5,n_gpus=1,version=1,num_classes=10,backend=keras,batch_size=265,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,epochs=10,subtract_pixel_mean=True	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
