host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	val_acc	val_loss	opts	n_model_params	versions	comment
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	0	6.005442	52.21272373199463	0.0625	2.6708555	0.104851976	6.5786047	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	1	66.948231	52.22189164161682	0.359375	1.9342692	0.20847039	3.9228256	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	2	5.630309	52.41727304458618	0.6328125	1.3089257	0.27014804	3.396867	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	3	59.305886	52.15024495124817	0.6640625	1.2363285	0.35238487	2.7782788	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	4	5.626142	50.47923684120178	0.75	0.95442355	0.6015625	1.3227352	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	5	60.4032	52.18929123878479	0.7578125	0.97152305	0.6245888	1.2720807	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	6	5.794023	51.77474880218506	0.71875	0.9971005	0.6694079	1.1594884	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	7	60.294967	51.4649384021759	0.859375	0.62664974	0.6299342	1.4009517	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	8	5.620883	52.140835762023926	0.828125	0.7279232	0.6159539	1.379396	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	9	58.599641	51.572453022003174	0.7734375	0.8352072	0.6377467	1.2439488	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	10	5.799742	52.026527643203735	0.84375	0.73183733	0.6792763	1.1260953	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	11	60.319149	52.11590027809143	0.84375	0.6986859	0.7269737	1.0422062	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	12	5.785564	52.039347410202026	0.8203125	0.7653221	0.7434211	1.0187409	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2080	resnet32v1	cifar10	3.967541	50000.0	10000.0	1.	20180423:094914	20180423:095024	13	59.005109	52.83824968338013	0.8203125	0.8523159	0.6994243	1.143613	version=1,n_gpus=4,checkpoint_epochs=False,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,epochs=15,n=5,data_augmentation=True,num_classes=10,backend=tf,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
taurusi2061	resnet32v1	cifar10	3.554267	50000.0	10000.0	1.	20180423:094012	20180423:094122	0	6.01515	51.98979043960571	0.125	2.5741074	0.2138158	2.8887198	epochs=15,version=1,n=5,data_augmentation=True,checkpoint_epochs=False,subtract_pixel_mean=True,num_classes=10,backend=tf,n_gpus=4,scratchspace=/home/steinba/development/deeprace,batch_size=512	None	tensorflow:1.7.0	k80:4,fs:nfs,singularity:lustre
